car_name,model_year,km,transmission,fuel,color,no_doors,engine_capacity,drive_type,no_cylinders,Accident_history,price
Used BMW 7 Series 2018,2018,"49,500KM",Automatic,N/A,Grey,N/A,N/A,"
            Drive
          ",4,N/A,"198,000"
Used Toyota Corolla 2020,2020,"126,000KM",Automatic,N/A,White,N/A,N/A,"
            Drive
          ",3,N/A,"64,000"
Used Ford F-150 2015,2015,"172,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",8,N/A,"70,000"
Used Hyundai Tucson 2017,2017,"87,000KM",Automatic,N/A,Orange,N/A,N/A,"
            Drive
          ",4,N/A,"64,000"
Used Toyota Fortuner 2018,2018,"158,000KM",Automatic,N/A,Black,N/A,N/A,"
            Drive
          ",6,N/A,"92,000"
Used RAM 1500 2015,2015,"258,000KM",Automatic,N/A,Black,N/A,N/A,"
            Drive
          ",8,N/A,"88,000"
Used Audi A6 2016,2016,"236,000KM",Automatic,N/A,Black,N/A,N/A,"
            Drive
          ",4,N/A,"55,000"
Used Kia Optima 2016,2016,"190,000KM",Automatic,N/A,White,N/A,N/A,"
            Drive
          ",4,N/A,"38,000"
Used Mazda 2 Hatchback 2016,2016,"72,000KM",Automatic,Petrol,Gray,4,1,"
            Front Wheel Drive
          ",4,Perfect inside out,"35,000"
Used Hyundai Elantra 1.6L 2016,2016,130KM,Automatic,Diesel,Brown,4,1600,"
            Front Wheel Drive
          ",4,Perfect inside out,"20,000"
Used Toyota Fortuner 2010,2010,"230,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"33,000"
Used Toyota Camry 2016,2016,"170,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"40,000"
Used Toyota Camry 2012,2012,"125,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"22,000"
Used Kia Sorento  3.5L Top 2016,2016,"104,000KM",Automatic,Petrol,White,4,3500,"
            All Wheel Drive
          ",6,Perfect inside out,"52,000"
Used Hyundai Elantra  1.8L Top 2015,2015,"150,000KM",Automatic,Petrol,White,4,1800,"
            Rear Wheel Drive
          ",4,Perfect inside out,"17,000"
Used Hyundai Elantra  1.6L GL 2020,2020,"52,000KM",Automatic,Petrol,Black,4,1591,"
            Front Wheel Drive
          ",4,Minor wear and tear,"38,000"
Used Hyundai Sonata  1.6T GL 2012,2012,"130,000KM",Automatic,Petrol,White,4,1591,"
            Front Wheel Drive
          ",4,Perfect inside out,"15,000"
Used Toyota Corolla  1.6L Standard 2012,2012,"77,000KM",CVT,Petrol,White,N/A,1600,"
            Front Wheel Drive
          ",4,Perfect inside out,"18,000"
Used Hyundai Elantra  2.0L Base 2016,2016,"123,000KM",Automatic,Petrol,Red,4,1600,"
            Front Wheel Drive
          ",4,Perfect inside out,"16,000"
Used BMW 7 Series 2014,2014,"249,000KM",Automatic,N/A,Black,N/A,N/A,"
            Drive
          ",6,N/A,"70,000"
Used Dodge Durango 2013,2013,"220,000KM",Automatic,N/A,Red,N/A,N/A,"
            Drive
          ",8,N/A,"40,000"
Used Toyota Fortuner 2019,2019,"148,000KM",Automatic,N/A,Grey,N/A,N/A,"
            Drive
          ",4,N/A,"88,000"
Used Ford Expedition 2013,2013,"189,000KM",Automatic,N/A,Black,N/A,N/A,"
            Drive
          ",8,N/A,"55,000"
Used Nissan Patrol 2021,2021,"4,000KM",Automatic,N/A,Blue,N/A,N/A,"
            Drive
          ",6,N/A,"260,000"
Used Ford Expedition 2015,2015,"193,000KM",Automatic,N/A,Red,N/A,N/A,"
            Drive
          ",6,N/A,"70,000"
Used Land Rover Range Rover Evoque 2016,2016,"227,000KM",Automatic,N/A,Black,N/A,N/A,"
            Drive
          ",4,N/A,"100,000"
Used Ford Expedition 2013,2013,"164,000KM",Automatic,N/A,Red,N/A,N/A,"
            Drive
          ",8,N/A,"43,000"
Used Volkswagen CC 2011,2011,"211,000KM",Automatic,N/A,White,N/A,N/A,"
            Drive
          ",4,N/A,"22,000"
Used GMC Acadia 2012,2012,"603,000KM",Automatic,N/A,White,N/A,N/A,"
            Drive
          ",6,N/A,"33,000"
Used Volkswagen Golf 2016,2016,"106,000KM",Automatic,N/A,White,N/A,N/A,"
            Drive
          ",4,N/A,"100,000"
Used Lexus LX 570 2013,2013,"108,000KM",Automatic,N/A,Gold,N/A,N/A,"
            Drive
          ",8,N/A,"200,000"
Used Honda Accord 2019,2019,"130,000KM",Automatic,N/A,Grey,N/A,N/A,"
            Drive
          ",4,N/A,"85,000"
Used Lexus ES 350 2012,2012,"180,000KM",Automatic,N/A,White,N/A,N/A,"
            Drive
          ",6,N/A,"45,000"
Used Nissan Patrol Safari 2014,2014,"57,000KM",Manual,N/A,Silver,N/A,N/A,"
            Drive
          ",6,N/A,"68,000"
Used Geely Emgrand X7 2016,2016,"253,000KM",Automatic,N/A,White,N/A,N/A,"
            Drive
          ",4,N/A,"28,000"
Used Toyota Yaris 2017,2017,"230,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",4,N/A,"32,000"
Used Dodge Durango 2013,2013,"236,000KM",Automatic,N/A,Black,N/A,N/A,"
            Drive
          ",6,N/A,"33,000"
Used Ford Ranger 2015,2015,"288,000KM",Manual,N/A,Red,N/A,N/A,"
            Drive
          ",4,N/A,"31,000"
Used Toyota FJ Cruiser 2012,2012,"283,000KM",Automatic,N/A,Red,N/A,N/A,"
            Drive
          ",6,N/A,"57,000"
Used Chevrolet Tahoe 2017,2017,"86,000KM",Automatic,N/A,Gold,N/A,N/A,"
            Drive
          ",8,N/A,"120,000"
Used Ford Mustang 2016,2016,"152,000KM",Automatic,N/A,Yellow,N/A,N/A,"
            Drive
          ",4,N/A,"72,000"
Used Dodge Challenger 2018,2018,"46,000KM",Automatic,N/A,White,N/A,N/A,"
            Drive
          ",6,N/A,"85,000"
Used BMW X5 2012,2012,"286,000KM",Automatic,N/A,White,N/A,N/A,"
            Drive
          ",6,N/A,"51,000"
Used Hyundai Grand Santa Fe 2016,2016,"102,000KM",Automatic,N/A,Silver,N/A,N/A,"
            Drive
          ",6,N/A,"81,000"
Used Changan Alsvin 2022,2022,"1,000KM",Automatic,N/A,Silver,N/A,N/A,"
            Drive
          ",4,N/A,"51,000"
Used Honda Odyssey 2011,2011,"243,000KM",Automatic,N/A,Gold,N/A,N/A,"
            Drive
          ",6,N/A,"28,000"
Used Land Rover Range Rover 2019,2019,"70,000KM",Automatic,N/A,Gold,N/A,N/A,"
            Drive
          ",6,N/A,"420,000"
Used Lexus LS 460 2012,2012,"246,000KM",Automatic,N/A,Black,N/A,N/A,"
            Drive
          ",8,N/A,"66,000"
Used Toyota Land Cruiser 2015,2015,"260,000KM",Automatic,N/A,White,N/A,N/A,"
            Drive
          ",8,N/A,"140,000"
Used Ford F-150 2013,2013,"200,000KM",Automatic,Petrol,Black,4,500,"
            All Wheel Drive
          ",8,Perfect inside out,"65,000"
Used Mazda 3 2016,2016,"200,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"36,000"
Used Toyota Fortuner 2015,2015,"165,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"55,000"
Used Hyundai Accent 2015,2015,"180,000KM",N/A,N/A,Gray,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"25,000"
Used Hyundai Tucson 2011,2011,"188,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"17,000"
Used Toyota Corolla 2015,2015,"68,000KM",N/A,N/A,Black,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"18,000"
Used Kia Sportage 2017,2017,"82,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"32,000"
Used Toyota Yaris 2016,2016,"40,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"20,000"
Used Kia Sportage 2016,2016,"78,000KM",N/A,N/A,Silver,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"38,000"
Used Hyundai Accent 2016,2016,"178,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"18,000"
Used Toyota Rav4 2016,2016,"120,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"38,000"
Used Hyundai Elantra 2015,2015,"200,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"20,000"
Used Hyundai Elantra 2015,2015,"362,548KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"18,000"
Used Hyundai Elantra 2017,2017,"28,100KM",N/A,N/A,Blue,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"25,000"
Used Kia Sportage 2018,2018,"69,000KM",N/A,N/A,Black,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"40,000"
Used Kia Sportage 2018,2018,"69,000KM",N/A,N/A,Black,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"40,000"
Used Toyota Yaris 2017,2017,"99,000KM",N/A,N/A,Bronze,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"23,000"
Used Hyundai Accent 2013,2013,"300,000KM",N/A,N/A,Silver,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"14,000"
Used Hyundai Accent 2017,2017,"136,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"20,000"
Used Toyota Camry 2013,2013,"300,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"13,000"
Used Toyota Innova 2018,2018,"189,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"30,000"
Used Toyota Yaris 2016,2016,"167,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"16,000"
Used Toyota Corolla 2015,2015,"167,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",Not Sure,Perfect inside out,"16,000"
Used Hyundai Accent 2015,2015,"178,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"20,000"
Used Hyundai Elantra 2018,2018,"117,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"30,000"
Used Toyota Corolla 2018,2018,"127,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"25,000"
Used Toyota Yaris 2014,2014,"268,000KM",N/A,N/A,Gray,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"20,000"
Used Toyota Land Cruiser Prado 2016,2016,"360,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"85,000"
Used Hyundai Sonata 2013,2013,"370,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"29,000"
Used Hyundai Elantra 2016,2016,"300,000KM",N/A,N/A,Gray,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"32,000"
Used Toyota Land Cruiser Prado 2014,2014,"250,000KM",N/A,N/A,Gray,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"85,000"
Used Toyota Fortuner 2015,2015,"165,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"55,000"
Used Kia Carens 2019,2019,"18,046KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"40,000"
Used Hyundai Sonata 2018,2018,"148,000KM",N/A,N/A,Beige,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"57,000"
Used GMC Acadia 2010,2010,"270,000KM",N/A,N/A,Black,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"15,000"
Used Mercedes-Benz CLC 180 2012,2012,"210,000KM",N/A,N/A,Black,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"35,000"
Used Kia Carnival 2016,2016,"140,000KM",N/A,N/A,Black,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"45,000"
Used Toyota Fortuner 2016,2016,"91,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"75,000"
Used Jeep Cherokee 2014,2014,"220,000KM",N/A,N/A,Black,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"65,000"
Used Hyundai Sonata 2007,2007,"250,000KM",N/A,N/A,Gray,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"9,000"
Used Mercedes-Benz C-Class 2009,2009,"110,000KM",N/A,N/A,Gold,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"300,000"
Used Toyota FJ Cruiser 2010,2010,"250,000KM",N/A,N/A,Black,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"48,000"
Used Hyundai Tucson 2018,2018,"189,000KM",N/A,N/A,Gray,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"32,000"
Used Hyundai Elantra 2018,2018,"130,000KM",N/A,N/A,Blue,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"22,000"
Used Hyundai Sonata 2012,2012,"45,870KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"24,000"
Used Hyundai Santa Fe 2015,2015,"86,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"55,000"
Used Toyota Innova 2013,2013,"188,000KM",N/A,N/A,Gray,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"17,000"
Used Mazda 2 2011,2011,"217,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"18,000"
Used Hyundai Santa Fe 2018,2018,"78,523KM",N/A,N/A,Gray,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"30,000"
Used Toyota Yaris 2011,2011,"300,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"10,000"
Used Chevrolet Traverse 2010,2010,"176,000KM",N/A,N/A,Black,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"22,500"
Used Hyundai Elantra 2016,2016,130KM,Automatic,Diesel,White,4,N/A,"
            Front Wheel Drive
          ",4,Perfect inside out,"20,000"
Used Toyota Corolla  1.6L SE 2017,2017,"112,000KM",Automatic,Petrol,White,4,1600,"
            Front Wheel Drive
          ",4,Perfect inside out,"30,000"
Used BMW X5 2014,2014,"191,000KM",Automatic,N/A,Black,N/A,N/A,"
            Drive
          ",8,N/A,"94,000"
Used BMW 7 Series 2010,2010,"219,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",6,N/A,"31,000"
Used Chevrolet Tahoe 2013,2013,"321,000KM",Automatic,N/A,Black,N/A,N/A,"
            Drive
          ",8,N/A,"29,800"
Used Hyundai Sonata 2018,2018,"132,000KM",Automatic,N/A,Silver,N/A,N/A,"
            Drive
          ",4,N/A,"52,000"
Used Volvo XC60 2011,2011,"117,000KM",Automatic,N/A,Black,N/A,N/A,"
            Drive
          ",4,N/A,"26,000"
Used Kia Mohave 2019,2019,"26,000KM",Automatic,N/A,Black,N/A,N/A,"
            Drive
          ",6,N/A,"105,000"
Used Toyota FJ Cruiser 2016,2016,"78,500KM",Automatic,N/A,Brown,N/A,N/A,"
            Drive
          ",6,N/A,"85,000"
Used Toyota Land Cruiser 2014,2014,"190,000KM",Automatic,N/A,White,N/A,N/A,"
            Drive
          ",8,N/A,"120,000"
New Toyota Innova 2022,2022,0KM,N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"115,000"
New Toyota Camry 2022,2022,0KM,N/A,N/A,Gray,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"140,000"
New Toyota Land Cruiser Prado 2022,2022,0KM,N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"215,000"
New Toyota FJ Cruiser 2022,2022,0KM,N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"158,000"
New Toyota Rav4 2022,2022,0KM,N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"138,000"
New Toyota Land Cruiser Prado 2022,2022,0KM,N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"228,000"
New Toyota Land Cruiser Prado 2022,2022,0KM,N/A,N/A,Gray,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"228,000"
Used Dodge Charger 2014,2014,"154,000KM",N/A,N/A,Black,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"32,000"
New Peugeot Expert 2022,2022,0KM,N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"89,000"
New Toyota FJ Cruiser 2022,2022,0KM,N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"158,000"
Used Toyota Corolla 2016,2016,"138,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"32,000"
Used Hyundai Elantra 2016,2016,"130,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"32,000"
Used Hyundai Elantra 2014,2014,"100,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"30,000"
Used Toyota Yaris 2015,2015,"250,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"25,000"
Used Hyundai Elantra 2010,2010,"360,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"16,500"
Used Toyota Rav4 2012,2012,"218,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"275,000"
Used Hyundai Tucson 2011,2011,"280,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"29,000"
Used Hyundai Sonata 2019,2019,"87,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"75,000"
Used Toyota Land Cruiser Prado 2014,2014,"300,000KM",N/A,N/A,Gray,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"85,000"
Used Toyota Land Cruiser Prado 2016,2016,"360,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"85,000"
Used Hyundai Sonata 2013,2013,"370,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"29,000"
Used Hyundai Elantra 2016,2016,"300,000KM",N/A,N/A,Gray,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"32,000"
Used Toyota Land Cruiser Prado 2014,2014,"85,000KM",N/A,N/A,Gray,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"200,000"
Used GMC Yukon XL  GMC Yukon XL 1500 5.3L AWD 2011,2011,"370,000KM",Automatic,Petrol,Black,5,5300,"
            Rear Wheel Drive
          ",8,Perfect inside out,"43,000"
Used Hyundai Elantra 1.6L 2016,2016,130KM,Automatic,Diesel,Brown,4,N/A,"
            Front Wheel Drive
          ",4,Perfect inside out,"20,000"
Used Ford Explorer  3.5L V6 Base 2015,2015,"180,000KM",Automatic,Petrol,Silver,4,3500,"
            All Wheel Drive
          ",6,Perfect inside out,"65,000"
Used Nissan Pathfinder 2019,2019,"175,000KM",Automatic,N/A,White,N/A,N/A,"
            Drive
          ",6,N/A,"80,000"
Used Cadillac ESCALADE 2019,2019,"44,000KM",Automatic,N/A,Black,N/A,N/A,"
            Drive
          ",6,N/A,"300,000"
Used Chevrolet Tahoe 2018,2018,"141,000KM",Automatic,N/A,Blue,N/A,N/A,"
            Drive
          ",8,N/A,"150,000"
Used Hyundai Sonata 2018,2018,"62,000KM",Automatic,N/A,Silver,N/A,N/A,"
            Drive
          ",4,N/A,"65,000"
Used Kia Telluride 2021,2021,"62,000KM",Automatic,N/A,White,N/A,N/A,"
            Drive
          ",6,N/A,"130,000"
