car_name,model_year,km,transmission,fuel,color,no_doors,engine_capacity,drive_type,no_cylinders,Accident_history,price
Used Toyota Camry 2007,2007,"368,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"13,000"
Used Hyundai Elantra 2010,2010,"176,000KM",N/A,N/A,Gray,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"11,000"
Used Nissan Sunny 2008,2008,"220,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"6,000"
Used Toyota Corolla 2006,2006,"266,000KM",N/A,N/A,Silver,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"6,000"
Used Chevrolet Aveo  1.4L LS Automatic 2016,2016,"103,442KM",Automatic,Petrol,White,4,1500,"
            Front Wheel Drive
          ",4,Minor wear and tear,"20,000"
Used Infiniti QX60  3.5L Luxe Sensory 2019,2019,"25,670KM",Automatic,Petrol,White,5,3496,"
            All Wheel Drive
          ",6,Perfect inside out,"160,350"
Used Chevrolet Impala  3.6L LS 2018,2018,"41,830KM",Automatic,Petrol,Silver,4,3564,"
            Front Wheel Drive
          ",6,Perfect inside out,"78,350"
Used GMC Yukon  5.3L SLE (2WD) 2018,2018,"54,329KM",Automatic,Petrol,Gray,5,5328,"
            Rear Wheel Drive
          ",8,Perfect inside out,"146,500"
Used Toyota Hilux 2014,2014,"150,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"37,000"
Used Toyota Camry 2013,2013,"90,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"25,000"
Used Toyota Corolla 2011,2011,"300,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"12,000"
Used Hyundai Elantra 2020,2020,"85,000KM",N/A,N/A,Black,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"27,000"
Used Toyota Land Cruiser Prado 2018,2018,"122,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"45,000"
Used Hyundai Tucson 2017,2017,"177,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"22,000"
Used Toyota Camry 2011,2011,"208,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"18,000"
Used Toyota Camry 2015,2015,"396,000KM",N/A,N/A,Brown,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"20,000"
Used Toyota Corolla 2006,2006,"188,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"7,000"
Used Toyota Highlander  2006,2006,"190,000KM",N/A,N/A,Beige,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"40,000"
Used Toyota Corolla 2013,2013,"450,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"17,000"
Used Toyota Corolla 2015,2015,"250,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"15,000"
Used Toyota Camry 2016,2016,"226,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"22,000"
Used Toyota Corolla 2003,2003,"300,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"4,000"
Used Toyota Corolla 2006,2006,"150,000KM",N/A,N/A,Blue,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"8,000"
Used Hyundai H1 2014,2014,"280,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"20,000"
Used Toyota Corolla  1.6L XLI (RB) 2009,2009,"460,000KM",CVT,Petrol,Blue,N/A,1600,"
            Front Wheel Drive
          ",4,Perfect inside out,"12,000"
Used Nissan Sentra  1.8L SL 2016,2016,"147,000KM",Automatic,Petrol,Black,4,1798,"
            Front Wheel Drive
          ",4,Perfect inside out,"35,000"
Used Hyundai Elantra  2.0L GLS 2012,2012,"320,000KM",Automatic,Petrol,Black,4,1999,"
            Front Wheel Drive
          ",4,Minor wear and tear,"22,000"
Used Chrysler 300C SRT8  6.4 L 2013,2013,"111,000KM",Automatic,Petrol,Gray,4,6400,"
            Rear Wheel Drive
          ",8,Perfect inside out,"142,000"
Used Mitsubishi 4th Generation Pajero 2016,2016,"205,000KM",Automatic,Petrol,White,5,3,"
            All Wheel Drive
          ",6,Perfect inside out,"56,000"
Used Hyundai Accent 2014,2014,"140,000KM",Automatic,Petrol,White,4,1600,"
            Front Wheel Drive
          ",4,Perfect inside out,"15,000"
Used Toyota Corolla 2010,2010,"120,000KM",Automatic,Petrol,White,4,1600,"
            Front Wheel Drive
          ",4,Perfect inside out,"13,000"
Used Toyota Camry 2017,2017,"118,000KM",Automatic,Petrol,White,4,1600,"
            Front Wheel Drive
          ",4,Perfect inside out,"30,000"
Used Toyota Camry  2.5L Highline 2010,2010,"148,000KM",Automatic,Petrol,White,4,2487,"
            Front Wheel Drive
          ",4,Perfect inside out,"17,000"
Used Hyundai Accent 2015,2015,"250,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"24,000"
Used Toyota Yaris 2017,2017,"181,000KM",N/A,N/A,Blue,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"23,000"
Used Toyota Hilux 2016,2016,"227,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"42,000"
Used Toyota Corolla 2007,2007,"66,000KM",N/A,N/A,Silver,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"85,000"
Used Toyota Corolla 2015,2015,"47,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"12,000"
Used Hyundai Sonata 2018,2018,"160,000KM",N/A,N/A,Black,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"40,000"
Used Nissan Sunny  1.5L S 2016,2016,"77,402KM",Automatic,Petrol,Gray,4,1500,"
            Front Wheel Drive
          ",4,Minor wear and tear,"30,000"
Used Toyota Hilux 2008,2008,"348,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"25,000"
Used Toyota Corolla 2012,2012,"184,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"10,000"
Used Toyota Corolla 2015,2015,"110,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"25,000"
Used Toyota Corolla 2018,2018,"85,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"30,000"
Used Toyota Corolla 2018,2018,"85,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"30,000"
Used Hyundai Sonata 2018,2018,"90,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"32,000"
Used Toyota Sequoia 2009,2009,"216,000KM",N/A,N/A,Gold,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"45,000"
Used Hyundai Accent 2009,2009,"402,000KM",N/A,N/A,Blue,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"11,500"
Used Toyota Corolla 2017,2017,"76,000KM",N/A,N/A,Silver,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"35,000"
Used Toyota Hilux 2016,2016,"145,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"35,000"
Used Hyundai Tucson 2018,2018,"80,000KM",N/A,N/A,Brown,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"38,000"
Used Toyota Camry 2008,2008,"265,000KM",N/A,N/A,Red,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"8,000"
Used Toyota Corolla 2009,2009,"137,000KM",N/A,N/A,Silver,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"8,000"
Used Kia Carnival 2012,2012,"280,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"20,000"
Used Toyota Corolla 2011,2011,"198,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"10,000"
Used Toyota Rav4  2.0L LE AWD 2020,2020,"66,000KM",CVT,Petrol,Other,5,2000,"
            All Wheel Drive
          ",4,Perfect inside out,"86,000"
Used Kia Optima  2.0L Turbo 2018,2018,10KM,Automatic,Petrol,White,4,1998,"
            Front Wheel Drive
          ",4,Perfect inside out,"17,000"
Used Toyota Avalon  3.5L V6 XLE 2020,2020,10KM,Automatic,Petrol,White,4,3456,"
            Front Wheel Drive
          ",6,Perfect inside out,"30,000"
Used Toyota Camry 2013,2013,"90,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"14,000"
Used Toyota Corolla 2013,2013,"150,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"10,000"
Used Toyota Corolla 2014,2014,"170,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"14,000"
Used Hyundai Elantra 2019,2019,"80,000KM",N/A,N/A,Silver,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"30,000"
Used Toyota Corolla 2012,2012,"150,000KM",N/A,N/A,Gray,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"10,000"
Used Hyundai Elantra 2016,2016,"80,000KM",N/A,N/A,Silver,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"20,000"
Used Hyundai Accent 2015,2015,"70,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"8,000"
Used Honda Accord 2015,2015,"80,000KM",N/A,N/A,Gold,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"35,000"
Used Hyundai Sonata 2017,2017,"70,000KM",N/A,N/A,Black,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"25,000"
Used Toyota Corolla 2010,2010,"108,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"22,000"
Used Honda Accord 2007,2007,"266,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"20,000"
Used Hyundai Elantra 2019,2019,"178,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"40,000"
Used Toyota Corolla 2006,2006,"240,000KM",N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"8,000"
Used BMW 7 Series  730Li 2018,2018,"45,423KM",Automatic,Petrol,White,4,1998,"
            Rear Wheel Drive
          ",4,Perfect inside out,"185,000"
Used BMW 5 Series  520i 2018,2018,"53,894KM",Automatic,Petrol,Blue,4,2000,"
            Rear Wheel Drive
          ",4,Perfect inside out,"136,150"
Used GMC Yukon  5.3L SLE (2WD) 2017,2017,"84,574KM",Automatic,Petrol,Black,5,5328,"
            Rear Wheel Drive
          ",8,Perfect inside out,"131,550"
Used Infiniti QX60  3.5L Luxe Sensory 2019,2019,"25,670KM",Automatic,Petrol,White,5,3496,"
            All Wheel Drive
          ",6,Perfect inside out,"160,350"
Used Infiniti Q50  3.0T Luxe 2019,2019,"48,022KM",Automatic,Petrol,Black,4,2997,"
            Rear Wheel Drive
          ",6,Perfect inside out,"110,350"
Used Chevrolet Impala  3.6L LS 2018,2018,"39,042KM",Automatic,Petrol,White,4,3564,"
            Front Wheel Drive
          ",6,Perfect inside out,"77,000"
Used GMC Yukon  5.3L SLE (2WD) 2018,2018,"42,431KM",Automatic,Petrol,Gray,5,5328,"
            Rear Wheel Drive
          ",8,Perfect inside out,"152,250"
Used Mercedes-Benz 450 SEL 2018,2018,"30,366KM",Automatic,Petrol,White,4,3000,"
            Rear Wheel Drive
          ",6,Perfect inside out,"293,700"
Used Chevrolet Impala  3.6L LS 2018,2018,"52,355KM",Automatic,Petrol,Black,4,3564,"
            Front Wheel Drive
          ",6,Perfect inside out,"74,050"
Used Mercedes-Benz 450 SEL 2018,2018,"45,006KM",Automatic,Petrol,Black,4,3000,"
            Rear Wheel Drive
          ",6,Perfect inside out,"290,250"
Used Chevrolet Tahoe  LTZ 2WD 2017,2017,"126,301KM",Automatic,Petrol,Black,5,5300,"
            Rear Wheel Drive
          ",8,Perfect inside out,"144,200"
Used BMW 7 Series  730Li 2018,2018,"34,355KM",Automatic,Petrol,White,4,1998,"
            Rear Wheel Drive
          ",4,Perfect inside out,"190,000"
Used Chevrolet Captiva  1.5T Premier 2022,2022,"9,800KM",CVT,Petrol,Black,5,1500,"
            Front Wheel Drive
          ",4,Perfect inside out,"75,000"
Used Toyota Camry 2020,2020,"32,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",4,N/A,"88,000"
Used Chevrolet Tahoe 2015,2015,"127,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",8,N/A,"98,000"
Used Infiniti Q50 2017,2017,"11,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",6,N/A,"135,000"
Used Infiniti Q50 2015,2015,"32,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",4,N/A,"67,000"
Used Lexus ES 350 2015,2015,"80,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",6,N/A,"82,000"
Used Chevrolet Traverse 2019,2019,"86,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",6,N/A,"95,000"
Used Ford Fusion 2016,2016,"178,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",4,N/A,"36,000"
Used Kia Cerato 2018,2018,"173,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",4,N/A,"36,000"
Used Haval H6 2022,2022,"21,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",4,N/A,"101,000"
Used Hyundai Sonata 2019,2019,"207,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",4,N/A,"51,000"
Used Jaguar XJ 2013,2013,"119,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",6,N/A,"45,000"
Used Toyota Land Cruiser 2015,2015,"156,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",8,N/A,"110,000"
Used Hyundai Sonata 2019,2019,"60,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",4,N/A,"75,000"
Used Chevrolet Silverado 2013,2013,"340,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",8,N/A,"40,000"
Used Chevrolet Cruze 2013,2013,"134,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",4,N/A,"12,000"
Used Ford Expedition 2018,2018,"112,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",6,N/A,"124,000"
Used Hyundai Tucson 2017,2017,"98,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",4,N/A,"54,000"
Used Hyundai Azera 2015,2015,"267,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",6,N/A,"40,000"
Used Changan CS75 2022,2022,"14,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",4,N/A,"91,500"
Used Toyota Innova 2014,2014,"131,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",4,N/A,"41,000"
Used Toyota Innova 2013,2013,"181,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",4,N/A,"31,000"
Used Nissan Patrol Safari 2016,2016,"370,000KM",Manual,N/A,N/A,N/A,N/A,"
            Drive
          ",6,N/A,"66,000"
Used Land Rover LR2 2010,2010,"288,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",6,N/A,"19,000"
Used Mazda CX-9 2018,2018,"98,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",4,N/A,"105,000"
Used Hyundai Santa Fe 2015,2015,"144,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",6,N/A,"52,000"
Used Lexus LS-Series 2018,2018,"117,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",6,N/A,"250,000"
Used Nissan Pathfinder 2015,2015,"104,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",6,N/A,"50,000"
Used Honda Accord 2018,2018,"258,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",4,N/A,"79,000"
Used Toyota Hilux 2011,2011,"350,000KM",Manual,N/A,N/A,N/A,N/A,"
            Drive
          ",4,N/A,"35,000"
Used Hyundai Elantra 2022,2022,"12,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",4,N/A,"75,000"
Used Geely Emgrand X7 2018,2018,"97,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",4,N/A,"42,000"
Used Hyundai Sonata 2018,2018,"160,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",4,N/A,"64,000"
Used Chevrolet Malibu 2013,2013,"318,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",6,N/A,"29,000"
Used Dodge Neon 2020,2020,"119,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",4,N/A,"30,000"
Used Hyundai Tucson 2020,2020,"72,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",4,N/A,"81,500"
Used Ford Expedition 2013,2013,"419,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",8,N/A,"30,000"
Used Toyota Fortuner 2013,2013,"281,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",4,N/A,"42,000"
Used Toyota Corolla Cross  1.8L XL (HEV) 2002,2002,"180,000KM",Automatic,Hybrid,Silver,5,1798,"
            Front Wheel Drive
          ",4,Perfect inside out,"8,000"
Used Nissan Armada  5.6 LE 2008,2008,"129,000KM",Automatic,Petrol,Silver,4,5552,"
            All Wheel Drive
          ",8,Perfect inside out,"30,000"
Used Mitsubishi Rosa 2016,2016,"157,184KM",Manual,Petrol,White,4,4200,"
            Rear Wheel Drive
          ",4,Perfect inside out,"72,900"
Used Mercedes-Benz 450 SEL 2018,2018,"58,838KM",Automatic,Petrol,Blue,4,3000,"
            Rear Wheel Drive
          ",6,Perfect inside out,"287,950"
New Kia Seltos 2022,2022,0KM,N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"79,000"
New Toyota Hiace 2022,2022,0KM,N/A,N/A,White,N/A,N/A,"
            Drive
          ",N/A,Perfect inside out,"149,000"
New Toyota Hilux 2022,2022,0KM,N/A,N/A,White,N/A,N/A,"
            Drive
          ",4,Perfect inside out,"185,000"
Used Hyundai i10 2016,2016,"139,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",4,N/A,"23,000"
Used Lexus LX 570 2020,2020,"66,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",8,N/A,"410,000"
Used Land Rover Range Rover 2016,2016,"74,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",8,N/A,"234,000"
Used Honda Accord 2019,2019,"45,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",4,N/A,"95,000"
Used Dodge Durango 2013,2013,"188,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",6,N/A,"36,000"
Used Renault Koleos 2015,2015,"95,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",4,N/A,"26,000"
Used Ford Flex 2013,2013,"319,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",6,N/A,"40,000"
Used Chevrolet Traverse 2016,2016,"159,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",6,N/A,"45,000"
Used Kia Sportage 2014,2014,"196,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",4,N/A,"37,000"
Used BMW 3 Series 2014,2014,"148,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",4,N/A,"48,000"
Used Dodge Durango 2014,2014,"226,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",6,N/A,"61,000"
Used Nissan Patrol Safari 2016,2016,"198,000KM",Manual,N/A,N/A,N/A,N/A,"
            Drive
          ",8,N/A,"50,000"
Used Hyundai Tucson 2017,2017,"186,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",4,N/A,"56,000"
Used Toyota Fortuner 2017,2017,"126,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",4,N/A,"92,000"
Used Nissan Patrol 2016,2016,"160,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",8,N/A,"140,000"
Used Lexus RX 350 2017,2017,"169,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",6,N/A,"150,000"
Used Renault Master 2021,2021,"36,000KM",Manual,N/A,N/A,N/A,N/A,"
            Drive
          ",4,N/A,"70,000"
Used Volkswagen Passat 2012,2012,"220,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",5,N/A,"31,000"
Used Hyundai Santa Fe 2020,2020,"104,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",6,N/A,"89,500"
Used Chevrolet Spark 2021,2021,"73,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",4,N/A,"39,000"
Used Hyundai Accent 2021,2021,"22,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",4,N/A,"44,000"
Used BMW X5 2010,2010,"262,000KM",Automatic,N/A,N/A,N/A,N/A,"
            Drive
          ",8,N/A,"41,000"
